#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	notice
#open	2026-04-24-16-58-35
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	fuid	file_mime_type	file_desc	proto	note	msg	sub	src	dst	p	n	peer_descr	actions	email_dest	suppress_for	remote_location.country_code	remote_location.region	remote_location.city	remote_location.latitude	remote_location.longitude
#types	time	string	addr	port	addr	port	string	string	string	enum	enum	string	string	addr	addr	port	count	string	set[enum]	set[string]	interval	string	string	string	double	double
1777049915.227713	COkLXs1x2ednAc8sql	fe80::48a2:b0ff:feb2:dbe7	143	ff02::16	0	-	-	-	icmp	MLDetector::ConnectionAnomaly	Anomalous connection: 4 pkts in 0.70 sec	-	fe80::48a2:b0ff:feb2:dbe7	ff02::16	0	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777049968.680190	CYeDrv3IAPdRAgB2G5	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 44 pkts in 5.00 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777049973.792023	CN8aSq1nrx2qZmc3n2	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 44 pkts in 5.00 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777049978.851204	Cd81bT2m1TaDtA1cB5	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 43 pkts in 4.93 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777049983.852096	CPcLOs1guUYeR8NWm2	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 43 pkts in 4.90 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777049988.942464	ClV2D52hossctuCx8e	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 43 pkts in 4.97 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777049993.952728	C1Ub4G1li8t6nsJm5a	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 43 pkts in 4.89 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777049999.047775	CCpgtvvOqcmCyiHzb	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 44 pkts in 4.97 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050004.135855	CRfbZS1oJlfLYRQ8kc	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 44 pkts in 4.98 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050009.186660	CFxmeT3zfueKDB8pWb	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 43 pkts in 4.93 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050014.243912	Cn66xC1V0UHGtrsbX5	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 43 pkts in 4.95 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
